,회사명,거래소코드,회계년도,설비투자효율,총자본투자효율,부채구성비율,비유동장기적합률,재고자산보유기간,매출채권회수기간,매입채무회전률,경영자본회전률,경영자본순이익률,자기자본순이익률,자기자본증가율,년,key,부도
122,(주)노바렉스,194700.0,2019/12,56.57,17.09,39.97175322590999,64.89,44.51219512195122,43.608124253285546,8.98,1.39,13.02,17.17,16.23,2019.0,1947002020.0,0.0
123,(주)노바렉스,194700.0,2020/12,70.93,17.76,46.20365248836809,73.45,46.31979695431472,45.22924411400248,10.61,1.46,16.78,24.39,23.78,2020.0,1947002021.0,0.0
124,(주)노바텍,285490.0,2019/12,1375.49,16.51,5.38387089513606,45.68,24.23638778220452,21.64887307236062,46.06,0.86,18.89,14.91,35.47,2019.0,2854902020.0,0.0
125,(주)노바텍,285490.0,2020/12,1165.4,16.44,11.476636084693238,32.06,19.75108225108225,47.7124183006536,15.88,0.49,13.06,10.03,37.95,2020.0,2854902021.0,0.0
126,(주)노터스,278650.0,2019/12,49.68,19.45,29.470101418476474,68.25,2.222763534498508,32.18694885361552,40.69,0.8,9.23,12.31,103.77,2019.0,2786502020.0,0.0
127,(주)노터스,278650.0,2020/12,77.09,25.46,25.36452743793375,80.94,6.766777901371895,35.7843137254902,42.33,0.83,14.95,16.91,27.77,2020.0,2786502021.0,0.0
128,(주)녹십자셀,31390.0,2019/12,44.74,12.89,44.71792709520578,105.66,17.927308447937133,61.24161073825504,76.4,0.43,12.87,14.24,25.61,2019.0,313902020.0,0.0
129,(주)녹십자셀,31390.0,2020/12,11.11,6.46,41.00790227805598,92.3,23.96585686145765,73.29317269076304,64.12,0.31,2.65,3.67,21.44,2020.0,313902021.0,0.0
130,(주)녹십자엠에스,142280.0,2019/12,-330.81,-10.14,41.92384256295038,68.97,36.68341708542714,90.79601990049753,6.8,1.73,-30.7,-50.63,212.06,2019.0,1422802020.0,0.0
131,(주)녹십자엠에스,142280.0,2020/12,47.16,14.25,43.95706719264695,69.27,51.77304964539008,87.32057416267943,6.29,1.45,7.81,11.27,12.2,2020.0,1422802021.0,0.0
132,(주)녹십자웰빙,234690.0,2019/12,414.63,19.33,22.065107387833127,28.7,56.58914728682171,63.922942206654994,15.07,0.97,8.22,10.18,188.33,2019.0,2346902020.0,0.0
133,(주)녹십자웰빙,234690.0,2020/12,411.62,14.48,27.48863150360912,60.61,71.70923379174853,67.84386617100373,14.51,0.82,1.65,1.84,-0.11,2020.0,2346902021.0,0.0
134,(주)녹원씨엔아이,65560.0,2019/12,-5.33,-0.68,28.68195229622289,95.33,42.19653179190751,132.24637681159422,37.8,0.39,-11.29,-12.8,-12.18,2019.0,655602020.0,0.0
135,(주)녹원씨엔아이,65560.0,2020/12,-101.77,-10.63,39.375510936534205,119.05,59.54323001631322,202.77777777777777,35.88,0.26,-23.18,-24.14,-3.98,2020.0,655602021.0,0.0
136,(주)누리플랜,69140.0,2019/12,20.26,4.54,55.70007507507507,124.88,3.9450929528750542,41.619156214367166,24.07,1.25,-13.33,-15.4,6.89,2019.0,691402020.0,0.0
137,(주)누리플랜,69140.0,2020/12,80.35,16.27,43.731634847415336,114.5,8.023741481644317,43.40071343638525,16.82,1.35,10.49,10.05,45.22,2020.0,691402021.0,0.0
138,(주)누리플렉스,40160.0,2019/12,140.3,16.69,41.30282087080187,75.76,75.1028806584362,85.28037383177569,8.41,1.23,10.77,13.72,12.08,2019.0,401602020.0,0.0
139,(주)누리플렉스,40160.0,2020/12,45.66,5.61,38.06829433898209,85.61,74.1869918699187,98.11827956989248,8.33,0.9,-0.47,-0.53,-2.98,2020.0,401602021.0,0.0
140,(주)뉴로스,126870.0,2019/12,-87.56,-13.16,58.57626619552415,75.72,135.68773234200745,214.7058823529412,9.24,0.4,-21.02,-43.74,3.84,2019.0,1268702020.0,0.0
141,(주)뉴로스,126870.0,2020/12,-184.23,-39.94,66.59080927855632,100.79,129.8932384341637,237.012987012987,6.95,0.37,-43.84,-103.56,-45.92,2020.0,1268702021.0,0.0
