key,운영,시설,기타
2637002018,2.0,0.0,1.0
0700802008,2.0,0.0,0.0
1748802020,2.0,0.0,2.0
0798702008,2.0,0.0,0.0
0137802012,2.0,1.0,0.0
0725202016,2.0,0.0,2.0
0254602006,2.0,0.0,0.0
0373402012,2.0,0.0,1.0
0388302008,2.0,0.0,0.0
0822702017,2.0,0.0,0.0
0398502007,2.0,0.0,0.0
0280802020,2.0,0.0,0.0
0477102010,2.0,0.0,0.0
0781502009,2.0,0.0,0.0
0319502006,2.0,0.0,0.0
0248102020,2.0,0.0,0.0
2906502020,2.0,0.0,0.0
0610502009,2.0,0.0,1.0
0362602008,2.0,0.0,0.0
0248102003,2.0,0.0,0.0
0731302008,2.0,0.0,0.0
0582202019,2.0,0.0,1.0
0627302007,2.0,0.0,0.0
1062402011,2.0,0.0,0.0
2002302017,2.0,0.0,4.0
0948602012,2.0,0.0,0.0
0658102007,2.0,0.0,0.0
0010002008,2.0,0.0,0.0
0474502009,2.0,0.0,0.0
0423702020,2.0,0.0,0.0
0786102008,2.0,0.0,0.0
0691102014,2.0,0.0,0.0
0537002005,2.0,0.0,0.0
0171602008,2.0,0.0,0.0
0328202005,2.0,0.0,0.0
0494702009,2.0,0.0,0.0
0388802018,2.0,0.0,0.0
0805702006,2.0,0.0,0.0
0687902011,2.0,0.0,0.0
0371102007,2.0,0.0,0.0
0640902016,2.0,0.0,1.0
0525602005,2.0,0.0,0.0
0684202011,2.0,0.0,0.0
0420402018,2.0,0.0,0.0
0655002010,2.0,0.0,0.0
1154502018,2.0,0.0,0.0
0640902017,2.0,0.0,0.0
0609102007,2.0,0.0,0.0
0919702018,2.0,0.0,0.0
0941902018,2.0,0.0,0.0
0523102006,2.0,0.0,0.0
0259702006,2.0,0.0,4.0
0648202012,2.0,0.0,0.0
0332802007,2.0,0.0,0.0
0464402005,2.0,0.0,0.0
0540902012,2.0,0.0,0.0
0826602019,2.0,0.0,2.0
1271602018,2.0,0.0,1.0
0354802017,2.0,0.0,0.0
0328002005,2.0,0.0,0.0
0693302020,2.0,0.0,0.0
0676302018,2.0,0.0,1.0
0485102007,2.0,0.0,0.0
0576802017,2.0,0.0,2.0
0523002013,2.0,1.0,0.0
0392002009,2.0,0.0,0.0
0452902005,2.0,0.0,0.0
0362602014,2.0,0.0,0.0
0966902020,2.0,0.0,0.0
1238402018,2.0,0.0,0.0
0334302017,2.0,0.0,0.0
기술투자2008,2.0,0.0,0.0
0586902008,2.0,0.0,0.0
0740002010,2.0,0.0,0.0
0540802003,2.0,0.0,1.0
0261502018,2.0,0.0,0.0
0373202007,2.0,0.0,0.0
0463902010,2.0,0.0,0.0
1055502020,2.0,1.0,0.0
0526402009,2.0,0.0,0.0
0170102009,2.0,0.0,0.0
0872602020,2.0,0.0,0.0
1116102012,2.0,1.0,0.0
0361802019,2.0,1.0,0.0
0428702005,2.0,0.0,0.0
0684202010,2.0,0.0,0.0
0464002013,2.0,0.0,0.0
0667002009,2.0,0.0,0.0
1924102020,2.0,0.0,0.0
0392002015,2.0,0.0,0.0
0395602018,2.0,0.0,0.0
0327902009,2.0,0.0,1.0
0715302011,2.0,0.0,0.0
0429402016,2.0,0.0,0.0
