,번호,시간,회사명,종목코드,공시제목,제출인
61,40,2016-02-12 17:13,시너지이노베이션,48870,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],시너지이노베이션
62,39,2016-02-11 07:06,피엘에이,82390,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],피엘에이
63,38,2016-02-05 16:19,에이디칩스,54630,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,에이디칩스
64,37,2016-02-03 17:13,코데즈컴바인,47770,회생절차 종결결정,코데즈컴바인
65,36,2016-01-29 17:33,동일철강,23790,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,동일철강
66,35,2016-01-26 16:25,아이앤씨,52860,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아이앤씨테크놀로지
67,34,2016-01-25 16:28,코데즈컴바인,47770,회생절차 종결신청,코데즈컴바인
68,33,2015-09-14 17:18,코데즈컴바인,47770,파산신청 기각,코데즈컴바인
69,32,2015-08-13 17:58,코데즈컴바인,47770,회생계획 인가,코데즈컴바인
70,31,2015-07-06 17:44,시너지이노베이션,48870,회생절차개시결정,시너지이노베이션
71,30,2015-06-17 17:52,시너지이노베이션,48870,회생절차개시신청,시너지이노베이션
72,29,2015-05-28 17:22,디아이디,74130,회생절차개시신청,디아이디
73,28,2015-05-18 11:29,티에스엠텍,66350,[정정]회생절차개시신청,티에스엠텍
74,27,2015-05-15 17:57,디아이디,74130,[정정]회생절차 개시신청 기각,디아이디
75,26,2015-05-15 17:40,디아이디,74130,회생절차 개시신청 기각[정],디아이디
76,25,2015-05-15 17:29,티에스엠텍,66350,회생절차개시신청[정],티에스엠텍
77,24,2015-05-15 14:49,디아이디,74130,파산신청,디아이디
78,23,2015-05-07 16:48,디아이디,74130,회생절차개시신청,디아이디
79,22,2015-05-07 07:12,티에스엠텍,66350,부도발생,티에스엠텍
80,21,2015-03-25 17:26,코데즈컴바인,47770,회생절차개시결정,코데즈컴바인
81,20,2015-03-23 20:24,영진코퍼레이션,53330,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,영진코퍼레이션
82,19,2015-03-18 07:11,엘아이에스,138690,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엘아이에스
83,18,2015-03-13 19:27,아이팩토리,53810,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아이팩토리
84,17,2015-03-12 15:53,아이디에스,78780,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아이디에스
85,16,2015-03-11 16:36,오성첨단소재,52420,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,오성첨단소재
86,15,2015-03-10 17:41,코데즈컴바인,47770,회생절차개시신청,코데즈컴바인
87,14,2015-03-06 16:31,삼표시멘트,38500,회생절차 종결결정,삼표시멘트
88,13,2015-03-04 16:49,우양에이치씨,101970,부도발생,우양에이치씨
89,12,2015-03-02 18:15,우양에이치씨,101970,회생절차개시신청,우양에이치씨
90,11,2015-03-02 07:07,코데즈컴바인,47770,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,코데즈컴바인
91,10,2015-02-27 15:56,GT&T,53870,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,지티앤티
92,9,2015-02-26 15:02,삼표시멘트,38500,회생절차 종결신청,삼표시멘트
